TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDateOnly,hour,day_of_week,day_name,month,day,is_weekend,TimeBetweenTransactions,TransactionFrequency,is_first_transaction_of_day,Lat,Lon,has_multiple_daily_locations,max_location_distance_km,StateName,StateCode,amount_log,amount_squared,amount_sqrt,customer_tx_count,customer_avg_amount,customer_std_amount,customer_min_amount,customer_max_amount,customer_median_amount,amount_deviation_from_mean,amount_ratio_to_max,is_max_transaction,merchant_tx_count,merchant_avg_amount,merchant_std_amount,is_rare_merchant,customer_merchant_count,is_first_time_merchant,time_since_last_tx,is_rapid_transaction,amount_x_hour,fraud_score,fraud_prediction,model_votes,iso_forest_flag,lof_flag,ocsvm_flag
TX001690,AC00313,27.51,2023-09-20 18:16:03,Credit,Columbus,D000250,47.82.77.181,M057,Online,40,Doctor,103,1,13645.63,2024-11-04 08:06:27,2023-09-20,18,2,Wednesday,9,20,0,410.58,0.07306736811340056,False,39.9622601,-83.0007065,True,263.15402640816905,Ohio,OH,3.3502549029245805,756.8001,5.244997616777343,3,247.89999999999998,357.1939524963994,27.51,660.02,56.17,-0.6170037254066273,0.04168055507154245,0,27,243.34148148148148,247.4116418301803,0,1,1,-526.6925,1,495.18,0.7312615563100051,1,2,0,1,1
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,2023-09-20,16,2,Wednesday,9,20,0,410.63,0.07305847112972749,True,42.3315509,-83.0466403,True,263.15402640816905,Michigan,MI,4.04602928527588,3155.0689,7.494664769020694,3,247.89999999999998,357.1939524963994,27.51,660.02,56.17,-0.53676720482877,0.08510348158373461,0,24,223.77833333333334,218.74498161034495,0,1,1,,0,898.72,0.7225775091342154,1,2,0,1,1
TX001618,AC00331,64.01,2023-10-30 18:14:15,Credit,Philadelphia,D000051,150.83.4.238,M061,Branch,19,Student,240,1,1225.69,2024-11-04 08:08:26,2023-10-30,18,0,Monday,10,30,0,370.58,0.08095417993415727,False,39.9527237,-75.1635262,True,144.3618561155261,Pennsylvania,PA,4.174541104216377,4097.280100000001,8.000624975587845,7,333.0442857142857,359.6780676223829,58.32,1045.45,166.13,-0.7479863499732539,0.06122722266848991,0,24,186.14,205.06600799445678,0,1,1,6289.757777777778,0,1152.18,0.7127849475510487,1,2,0,1,1
TX001078,AC00331,1045.45,2023-10-30 16:45:47,Debit,Baltimore,D000547,199.103.32.145,M036,Online,19,Student,150,1,563.46,2024-11-04 08:11:59,2023-10-30,16,0,Monday,10,30,0,370.64,0.08094107489747464,True,39.2908816,-76.610759,True,144.3618561155261,Maryland,MD,6.9531587624359865,1092965.7025000001,32.33341924387212,7,333.0442857142857,359.6780676223829,58.32,1045.45,166.13,1.9806759889873948,0.999999999043474,1,25,361.6628,344.19471564702053,0,1,1,1295.7325,0,16727.2,0.6585093233965765,1,2,0,1,1
TX001635,AC00358,1762.28,2023-10-06 16:05:34,Debit,Memphis,D000008,26.105.49.129,M066,ATM,24,Student,150,1,1380.34,2024-11-04 08:10:42,2023-10-06,16,4,Friday,10,6,0,394.67,0.07601287151290952,True,35.1460249,-90.0517638,True,1829.0954544025813,Tennessee,TN,7.474930989980131,3105630.7983999997,41.97951881572727,8,450.05375,563.8533185384172,17.79,1762.28,350.37,2.327247538551724,0.9999999994325532,1,34,351.43382352941177,364.7956378079726,0,1,1,6575.423611111111,0,28196.48,0.6535798930040414,1,2,1,0,1
TX002205,AC00358,474.77,2023-10-06 18:26:45,Debit,Boston,D000164,65.124.242.67,M038,Online,46,Engineer,284,1,8494.53,2024-11-04 08:06:24,2023-10-06,18,4,Friday,10,6,0,394.57,0.07603213624958816,False,42.3554334,-71.060511,True,1829.0954544025813,Massachusetts,MA,6.164934544178619,225406.55289999998,21.789217516927955,8,450.05375,563.8533185384172,17.79,1762.28,350.37,0.04383453842256932,0.2694066775600888,0,31,336.8874193548387,250.94972621314332,0,1,1,5425.419444444445,0,8545.86,0.6238168634280674,1,2,1,0,1
TX000692,AC00418,25.94,2023-10-16 18:53:31,Credit,San Jose,D000232,42.219.228.159,M003,Online,58,Retired,211,5,4815.11,2024-11-04 08:06:38,2023-10-16,18,0,Monday,10,16,0,384.55,0.07801326225458327,False,37.3361663,-121.890591,True,2361.231621685379,California,CA,3.293612170982218,672.8836000000001,5.0931326312987375,6,286.33666666666664,384.0586309232832,25.94,1047.69,140.345,-0.678012795501187,0.02475923219200409,0,25,213.8,203.37021965289475,0,1,1,2857.3730555555558,0,466.92,0.6051182921850994,1,2,1,0,1
TX001439,AC00179,1831.02,2023-09-15 17:31:42,Credit,Columbus,D000246,141.121.30.32,M012,Online,62,Doctor,83,1,11498.01,2024-11-04 08:10:52,2023-09-15,17,4,Friday,9,15,0,415.61,0.0721830562306008,True,39.9622601,-83.0007065,False,0.0,Ohio,OH,7.513174462205053,3352634.2404,42.79041948847896,6,636.6216666666667,659.3779730447982,204.63,1831.02,288.025,1.8114016244834192,0.9999999994538563,1,21,409.3409523809524,453.71757636116286,0,1,1,5233.043333333333,0,31127.34,0.5932823906985653,1,3,1,1,1
TX001953,AC00350,1496.57,2023-02-27 16:18:28,Debit,Memphis,D000139,182.84.41.229,M092,Online,33,Engineer,95,1,969.06,2024-11-04 08:06:37,2023-02-27,16,0,Monday,2,27,0,615.66,0.04872819413312543,True,35.1460249,-90.0517638,False,0.0,Tennessee,TN,7.311599073471402,2239721.7649,38.6855270094644,2,907.92,832.4768134909224,319.27,1496.57,907.92,0.7071067803371464,0.9999999993318053,1,22,344.25363636363636,423.4924915682905,0,1,1,-3432.660277777778,1,23945.12,0.5889793513944982,1,3,1,1,1
TX000451,AC00495,745.03,2023-08-03 17:42:02,Debit,Fort Worth,D000031,30.92.249.132,M075,Online,28,Student,231,1,160.57,2024-11-04 08:09:15,2023-08-03,17,3,Thursday,8,3,0,458.6,0.06541648495420846,False,32.753177,-97.3327459,True,2672.407163056508,Texas,TX,6.614765813872392,555069.7008999999,27.2952376798591,8,300.72125,277.36567896847447,24.34,745.03,202.065,1.6018879843046925,0.9999999986577722,1,19,465.58578947368414,417.0644857055586,0,1,1,1918.9075,0,12665.51,0.5680090475867579,1,3,1,1,1
